PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17451;20113;3722 LOS ROSALES | LOS ROSALES;D8:BB:C1:95:C2:AC
17452;20079;3723 SAUCES | SAUCES;9C:6B:00:47:F4:7D
17453;20080;3724 MACARENA  VILLAVICENCIO | MACARENA  VILLAVICENCIO;A8:A1:59:99:31:4F
17478;20114;3725 MADRIGAL | MADRIGAL;30:9C:23:9F:0B:3F
17454;20069;3727 MARACOS | MARACOS;30:9C:23:28:1A:92
17455;20102;3728 OLIMPICO | OLIMPICO;00:D8:61:03:1D:B5
17479;20115;3729 OLIMPICO 2 | OLIMPICO 2;A0:A0:09:06:00:20
17480;20070;3730 REMANSO | REMANSO;D8:BB:C1:95:C2:19
17456;20116;3731 RETIRO | RETIRO;4C:CC:6A:D7:12:C7
17457;20082;3733 SANTA HELENA | SANTA HELENA;2C:F0:5D:EA:8B:3F
17481;20103;3734 VILLA ORTIZ | VILLA ORTIZ;94:C6:91:35:45:F3
17494;20083;3735 VILLA ORTIZ 2 | VILLA ORTIZ 2 ;70:85:C2:D2:96:B1
17458;20071;3736 BILLARES PAOLA | BILLARES PAOLA;94:C6:91:35:45:C4
17460;20104;3737 BRISAS DE LA ESPERANZA | BRISAS DE LA ESPERANZA ;2C:F0:5D:22:DF:49
17482;20117;3738 DROGUERIA VICUNA | DROGUERIA VICUNA;A8:A1:59:99:2F:1F
17483;20118;3739 SAN BENITO LA 40 | SAN BENITO LA 40;2C:F0:5D:22:DC:EE
17484;20119;3740 OCTAVA | OCTAVA;94:C6:91:35:44:3F
17486;20072;3741 MAIZARO | MAIZARO ;A8:A1:59:B0:D7:72
17461;20120;3742 NUEVO RICAUTE | NUEVO RICAUTE;30:9C:23:1F:0D:BA
17496;20121;3743 SAN BENITO | SAN BENITO ;2C:F0:5D:22:E3:58
17487;20122;3744 SAN BENITO 2 | SAN BENITO 2;4C:CC:6A:41:E2:34
17489;20123;3745 LA SEPTIMA 1 | LA SEPTIMA 1;70:85:C2:D2:96:CD
17490;20084;3746 LA SEPTIMA 2 | LA SEPTIMA 2 ;A8:A1:59:66:0B:B1
17462;20124;3747 LA SIJIN | LA SIJIN;2C:F0:5D:EB:1B:38
17491;20085;3748 DROGUERIA RETIRO | DROGUERIA RETIRO;D8:BB:C1:04:23:1F
17497;21122;3749 OFICINA UNICENTRO | OFICINA UNICENTRO;A8:A1:59:99:32:12
17499;20125;3751 MODULO DROGUERIA MERKADROGAS | MODULO DROGUERIA MERKADROGAS;4C:CC:6A:D7:12:C9
17437;20175;3778 EL BRILLANTE | EL BRILLANTE;30:9C:23:DC:1C:A0
19003;21148;3810-OFICINA CABUYARO E2 | HOTEL LUXOR PLAZA;A8:A1:59:99:31:6E
19003;21168;3810-OFICINA CABUYARO E2 | OFICINA CABUYARO E2;B8:AE:ED:32:7B:BA
17463;20065;3978 ESTACION ALBORADA | ESTACION ALBORADA;A8:A1:59:99:32:21
17413;20174;4019 LA ROSITA TRES | LA ROSITA TRES;A8:A1:59:99:29:4C
17464;20063;4041 MANUELA BELTRAN E2 | MANUELA BELTRAN E2 REVISION;54:E1:AD:D0:00:00
17464;300017;4041 MANUELA BELTRAN E2 | MANUELA BELTRAN 2;5C:60:BA:56:F3:63
19009;21194;4057-LA PLAZA GUAMAL | la plaza guamal;04:7C:16:B4:3C:8A
17465;20075;4061 OFICINA UNICENTRO E2 | OFICINA UNICENTRO  E2 ;A8:A1:59:78:74:1F
17502;20073;4128 OFICINA VILLA SUAREZ | OFICINA VILLA SUAREZ;30:9C:23:DC:16:A7
17430;20161;4130 ESPECIALIZADO LA RELIQUIA E2 | ESPECIALIZADO LA RELIQUIA  E2;D8:BB:C1:95:C2:B0
17431;20164;4131 ESPECIALIZADO LA RELIQUIA E3 | ESPECIALIZADO LA RELIQUIA E3;D8:BB:C1:95:C2:A8
19006;21185;4158-NVA PRINCIPAL BARRANCA | NVA PRINCIPAL BARRANCA;A8:A1:59:99:29:89
